id_doc;community;weight;AU;PY;TI;SO;DE
ARNOUX-CHIAVASSA S, 2003, OCEANOL ACTA;c2;1,000000000000000;"ARNOUX-CHIAVASSA S;REY V;FRAUNIE P";2003;MODELING 3D RHONE RIVER PLUME USING A HIGHER ORDER ADVECTION SCHEME;OCEANOLOGICA ACTA;"COASTAL OCEANOGRAPHY; 3D NUMERICAL MODEL; RIVER PLUME; STRATIFIED FLOWS; TOTAL VARIATION DIMINISHING SCHEMES"
PAMPOULIE C, 2001, ACTA OECOL-INT J ECOL;NA;1,000000000000000;PAMPOULIE C;2001;DEMOGRAPHIC STRUCTURE AND LIFE HISTORY TRAITS OF THE COMMON GOBY POMATOSCHISTUS MICROPS (TELEOSTEI, GOBIIDAE) IN A MEDITERRANEAN COASTAL LAGOON (RHONE RIVER DELTA, FRANCE);ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;"MEDITERRANEAN SEA; MALAGROY LAGOON; COASTAL LAGOONS; COMMON GOBY; REPRODUCTION; DEMOGRAPHIC STRUCTURE"
GOLLMANN G, 1997, J ZOOL SYST EVOL RES;c8;1,000000000000000;"GOLLMANN G;BOUVET Y;KARAKOUSIS Y;TRIANTAPHYLLIDIS C";1997;GENETIC VARIABILITY IN CHONDROSTOMA FROM AUSTRIAN, FRENCH AND GREEK RIVERS (TELEOSTEI, CYPRINIDAE);JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH;"ALLOZYMES; GENETIC VARIATION; RANGE EXPANSION; RIVER CAPTURE; CYPRINIDAE; CHONDROSTOMA"
CHARMASSON S, 2003, OCEANOL ACTA;c3;1,000000000000000;CHARMASSON S;2003;(CS)-C-137 INVENTORY IN SEDIMENT NEAR THE RHONE MOUTH: ROLE PLAYED BY DIFFERENT SOURCES;OCEANOLOGICA ACTA;"RHONE; MEDITERRANEAN SEA; RADIONUCLIDES; SEDIMENT; INVENTORY"
PAUTOU G, 1992, ENVIRON MANAGE;c1;1,000000000000000;"PAUTOU G;GIREL J;BOREL JL";1992;INITIAL REPERCUSSIONS AND HYDROELECTRIC DEVELOPMENTS IN THE FRENCH UPPER RHONE VALLEY - A LESSON FOR PREDICTIVE SCENARIOS PROPOSITIONS;ENVIRONMENTAL MANAGEMENT;"VEGETATION; FLOODPLAINS; HYDROELECTRIC DEVELOPMENTS; IMPACTS; PREDICTIVE; SCENARIOS; MODELS; ECOLOGICAL MAPPING"
JALALI B, 2017, HOLOCENE;NA;1,000000000000000;"JALALI B;SICRE MA;KALLEL J;COMBOURIEU-NEBOUT N;BASSETTI MA;KLEIN V";2017;HIGH-RESOLUTION HOLOCENE CLIMATE AND HYDROLOGICAL VARIABILITY FROM TWO MAJOR MEDITERRANEAN DELTAS (NILE AND RHONE);HOLOCENE;"AFRICAN HUMID PERIOD; HOLOCENE; MEDITERRANEAN; NILE DELTA; NORTH; ATLANTIC; RHONE RIVER; SEA SURFACE TEMPERATURES"
FONTANA C, 2010, CONT SHELF RES;c2;0,666666666666667;"FONTANA C;GRENZ C;PINAZO C";2010;SEQUENTIAL ASSIMILATION OF A YEAR-LONG TIME-SERIES OF SEAWIFS CHLOROPHYLL DATA INTO A 3D BIOGEOCHEMICAL MODEL ON THE FRENCH MEDITERRANEAN COAST;CONTINENTAL SHELF RESEARCH;"DATA ASSIMILATION; KALMAN FILTER; REMOTE SENSING; CHLOROPHYLL"
BOULOUBASSI I, 1994, MAR CHEM;NA;1,000000000000000;"BOULOUBASSI I;SALIOT A";1994;IMPLICATIONS OF A MULTILAYERED NEPHELOID SYSTEM FOR HYDROCARBON DISTRIBUTIONS AND TRANSPORT IN A MICROTIDAL MEDITERRANEAN ESTUARY;MARINE CHEMISTRY;NA
QIU ZF, 2010, ECOL MODEL;c2;1,000000000000000;"QIU ZF;DOGLIOLI AM;HU ZY;MARSALEIX F";2010;THE INFLUENCE OF HYDRODYNAMIC PROCESSES ON ZOOPLANKTON TRANSPORT AND DISTRIBUTIONS IN THE NORTH WESTERN MEDITERRANEAN ESTIMATES FROM A LAGRANGIAN MODEL;ECOLOGICAL MODELLING;"LAGRANGIAN; ZOOPLANKTON; NORTH WESTERN MEDITERRANEAN; GULF OF LIONS"
BOUFFARD D, 2016, BIOGEOSCIENCES;c7;0,666666666666667;"BOUFFARD D;PERGA ME";2016;ARE FLOOD-DRIVEN TURBIDITY CURRENTS HOT SPOTS FOR PRIMING EFFECT IN LAKES?;BIOGEOSCIENCES;NA
ROCHE H, 2009, CHEMOSPHERE;NA;0,750000000000000;"ROCHE H;VOLLAIRE Y;MARTIN E;ROUER C;COULET E;GRILLAS P;BANAS D";2009;RICE FIELDS REGULATE ORGANOCHLORINE PESTICIDES AND PCBS IN LAGOONS OF THE NATURE RESERVE OF CAMARGUE;CHEMOSPHERE;"CAMARGUE; BIOMONITORING; RICE FIELDS; PESTICIDES; PCB; CORBICULA"
DOMINE D, 1994, SCI TOTAL ENVIRON;NA;1,000000000000000;"DOMINE D;DEVILLERS J;GARRIGUES P;BUDZINSKI M;KARCHER W";1994;CHEMOMETRICAL EVALUATION OF THE PAH CONTAMINATION IN THE SEDIMENTS OF THE GULF-OF-LION (FRANCE);SCIENCE OF THE TOTAL ENVIRONMENT;"PAH; MEDITERRANEAN; SEDIMENTS; MULTIVARIATE ANALYSES; GRAPHICAL ANALYSIS"
MANSANAREZ V, 2016, WATER RESOUR RES;c9;1,000000000000000;"MANSANAREZ V;LE COZ J;RENARD B;LANG M;PIERREFEU G;VAUCHEL P";2016;BAYESIAN ANALYSIS OF STAGE-FALL-DISCHARGE RATING CURVES AND THEIR UNCERTAINTIES;WATER RESOURCES RESEARCH;"BAYESIAN INFERENCE; HYDROMETRY; STAGE-FALL-DISCHARGE RATING CURVE; UNCERTAINTY ANALYSIS; VARIABLE BACKWATER"
OMANI N, 2017, WATER;NA;1,000000000000000;"OMANI N;SRINIVASAN R;KARTHIKEYAN PK";2017;HYDROLOGICAL MODELING OF HIGHLY GLACIERIZED BASINS (ANDES, ALPS, AND CENTRAL ASIA);WATER;"SWAT; GLACIER; SNOW; MODELING; WATERSHED"
PLENET S, 1996, ARCH HYDROBIOL;c1;0,500000000000000;"PLENET S;HUGUENY H;GIBERT J";1996;INVERTEBRATE COMMUNITY RESPONSES TO PHYSICAL AND CHEMICAL FACTORS AT THE RIVER AQUIFER INTERACTION ZONE .2. DOWNSTREAM FROM THE CITY OF LYON;ARCHIV FUR HYDROBIOLOGIE;NA
PLENET S, 1996, ARCH HYDROBIOL;c8;0,500000000000000;"PLENET S;HUGUENY H;GIBERT J";1996;INVERTEBRATE COMMUNITY RESPONSES TO PHYSICAL AND CHEMICAL FACTORS AT THE RIVER AQUIFER INTERACTION ZONE .2. DOWNSTREAM FROM THE CITY OF LYON;ARCHIV FUR HYDROBIOLOGIE;NA
BEAUDOUIN C, 2005, MAR PET GEOL;NA;1,000000000000000;"BEAUDOUIN C;SUC JP;ACHERKI N;COURTOIS L;RABINEAU M;ALIOSI JC;SIERRO FJ;OBERLIN C";2005;PALYNOLOGY OF THE NORTHWESTERN MEDITERRANEAN SHELF (GULF OF LIONS): FIRST VEGETATIONAL RECORD FOR THE LAST CLIMATIC CYCLE;MARINE AND PETROLEUM GEOLOGY;"PALYNOLOGY; NW MEDITERRANEAN SEA; LATE QUATERNARY"
