id_doc;community;weight;AU;PY;TI;SO;DE
FOELLMI KB, 2009, GEODERMA;NA;1,000000000000000;"FOELLMI KB;ARN K;HOSEIN R;ADATTE T;STEINMANN P";2009;BIOGEOCHEMICAL WEATHERING IN SEDIMENTARY CHRONOSEQUENCES OF THE RHONE AND OBERAAR GLACIERS (SWISS ALPS): RATES AND MECHANISMS OF BIOTITE WEATHERING;GEODERMA;"BIOTITE; CHEMICAL WEATHERING; CHRONOSEQUENCE; OBERAAR AND RHONE; GLACIERS; SWITZERLAND"
KHALANSKI M, 1997, BULL FR PECH PISCIC;NA;1,000000000000000;KHALANSKI M;1997;INDUSTRIAL AND ECOLOGICAL CONSEQUENCES OF THE INTRODUCTION OF NEW SPECIES IN CONTINENTAL AQUATIC ECOSYSTEMS: THE ZEBRA MUSSEL AND OTHER INVASIVE SPECIES.;BULLETIN FRANCAIS DE LA PECHE ET DE LA PISCICULTURE;"INVASIVE SPECIES; INLAND WATERS; ZEBRA MUSSEL; BIOFOULING; INDUSTRIAL; CONSEQUENCES; ECOLOGICAL IMPACT"
DEGROOT CJ, 1990, HYDROBIOLOGIA;NA;1,000000000000000;DEGROOT CJ;1990;SOME REMARKS ON THE PRESENCE OF ORGANIC-PHOSPHATES IN SEDIMENTS;HYDROBIOLOGIA;"ORGANIC PHOSPHATE; FRACTIONATION; SEDIMENT"
BEAUDOUIN C, 2007, QUAT SCI REV;NA;0,533333333333333;"BEAUDOUIN C;JOUET G;SUC JP;BERNE S;ESCARGUEL G";2007;VEGETATION DYNAMICS IN SOUTHERN FRANCE DURING THE LAST 30 KY BP IN THE LIGHT OF MARINE PALYNOLOGY;QUATERNARY SCIENCE REVIEWS;NA
SEIFERTOVA M, 2012, J BIOGEOGR;c8;1,000000000000000;"SEIFERTOVA M;BRYJA J;VYSKOCILOVA N;SIMKOVA A";2012;MULTIPLE PLEISTOCENE REFUGIA AND POST-GLACIAL COLONIZATION IN THE EUROPEAN CHUB (SQUALIUS CEPHALUS) REVEALED BY COMBINED USE OF NUCLEAR AND MITOCHONDRIAL MARKERS;JOURNAL OF BIOGEOGRAPHY;"CYTOCHROME B; EUROPE; FRESHWATER FISHES; GLACIAL REFUGIA; MICROSATELLITES; PHYLOGEOGRAPHY; POPULATION STRUCTURE"
JAECK M, 2014, J AGRIC ECON;NA;1,000000000000000;"JAECK M;LIFRAN R";2014;FARMERS' PREFERENCES FOR PRODUCTION PRACTICES: A CHOICE EXPERIMENT STUDY IN THE RHONE RIVER DELTA;JOURNAL OF AGRICULTURAL ECONOMICS;"AGRICULTURAL TECHNOLOGICAL CHOICE; CHOICE EXPERIMENTS; FARMERS'; PREFERENCES; LATENT CLASS MODEL; RANDOM PARAMETER MODEL"
JOLY P, 1994, FRESHW BIOL;c8;1,000000000000000;"JOLY P;MORAND A";1994;THEORETICAL HABITAT TEMPLETS, SPECIES TRAITS, AND SPECIES RICHNESS - AMPHIBIANS IN THE UPPER RHONE RIVER AND ITS FLOODPLAIN;FRESHWATER BIOLOGY;NA
THOMAS AJ, 1997, DEEP-SEA RES PART II-TOP STUD OCEANOGR;NA;1,000000000000000;THOMAS AJ;1997;INPUT OF ARTIFICIAL RADIONUCLIDES TO THE GULF OF LIONS AND TRACING THE RHONE INFLUENCE IN MARINE SURFACE SEDIMENTS;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;NA
CELLOT B, 1996, FRESHW BIOL;c1;1,000000000000000;CELLOT B;1996;INFLUENCE OF SIDE-ARMS ON AQUATIC MACROINVERTEBRATE DRIFT IN THE MAIN CHANNEL OF A LARGE RIVER;FRESHWATER BIOLOGY;NA
GOINEAU A, 2015, MAR MICROPALEONTOL;c6;1,000000000000000;"GOINEAU A;FONTANIER C;MOJTAHID M;FANGET MA;BERNE S;JORISSEN F";2015;LIVE-DEAD COMPARISON OF BENTHIC FORAMINIFERAL FAUNAS FROM THE RHONE PRODELTA (GULF OF LIONS, NW MEDITERRANEAN): DEVELOPMENT OF A PROXY FOR PALAEOENVIRONMENTAL RECONSTRUCTIONS;MARINE MICROPALEONTOLOGY;"BENTHIC FORAMINIFERA; RHONE PRODELTA; TAPHONOMY; THANATOFACIES; PALAEOCEANOGRAPHY"
LARNO V, 2001, ECOTOXICOLOGY;c8;1,000000000000000;"LARNO V;LAROCHE J;LAUNEY S;FLAMMARION P;DEVAUX A";2001;RESPONSES OF CHUB (LEUCISCUS CEPHALUS) POPULATIONS TO CHEMICAL STRESS, ASSESSED BY GENETIC MARKERS, DNA DAMAGE AND CYTOCHROME P4501A INDUCTION;ECOTOXICOLOGY;"BIOMARKERS; GENETIC ECOTOXICOLOGY; FISH; DNA STRAND BREAK; EROD ACTIVITY"
PRICE D, 1998, ANAL CHIM ACTA;NA;1,000000000000000;"PRICE D;FAUZI R;MANTOURA C;WORSFOLD PJ";1998;SHIPBOARD DETERMINATION OF HYDROGEN PEROXIDE IN THE WESTERN MEDITERRANEAN SEA USING FLOW INJECTION WITH CHEMILUMINESCENCE DETECTION;ANALYTICA CHIMICA ACTA;"SHIPBOARD FLOW INJECTION; HYDROGEN PEROXIDE; SEAWATER; WESTERN; MEDITERRANEAN SEA"
FABRES J, 2008, CONT SHELF RES;c3;1,000000000000000;"FABRES J;TESI T;VELEZ J;BATISTA C;CALAFAT A;HEUSSNER S;PALANQUES A;MISEROCCHI S";2008;SEASONAL AND EVENT-CONTROLLED EXPORT OF ORGANIC MATTER FROM THE SHELF TOWARDS THE GULF OF LIONS CONTINENTAL SLOPE;CONTINENTAL SHELF RESEARCH;"PARTICULATE FLUX; ORGANIC MATTER; BIOMARKERS; SEASONALITY; STORMS; CASCADING; CONTINENTAL SLOPE; NW MEDITERRANEAN SEA; GULF OF LIONS"
CHERGUI H, 1988, ARCH HYDROBIOL;c8;1,000000000000000;"CHERGUI H;PATTEE E";1988;THE DYNAMICS OF HYPHOMYCETES ON DECAYING LEAVES IN THE NETWORK OF THE RIVER RHONE (FRANCE);ARCHIV FUR HYDROBIOLOGIE;NA
GOLTERMAN HL, 1985, HYDROBIOLOGIA-a-b-c;NA;1,000000000000000;"GOLTERMAN HL;MEYER ML";1985;THE GEOCHEMISTRY OF 2 HARD WATER RIVERS, THE RHINE AND THE RHONE .4. THE DETERMINATION OF THE SOLUBILITY PRODUCT OF HYDROXY-APATITE;HYDROBIOLOGIA;NA
DREXLER TM, 2008, CONT SHELF RES;c3;1,000000000000000;"DREXLER TM;NITTROUER CA";2008;STRATIGRAPHIC SIGNATURES DUE TO FLOOD DEPOSITION NEAR THE RHONE RIVER: GULF OF LIONS, NORTHWEST MEDITERRANEAN SEA;CONTINENTAL SHELF RESEARCH;"MEDITERRANEAN SEA; GULF OF LIONS; RHONE RIVER DELTA; FLOOD DEPOSIT; PB-210"
SANTIAGO S, 1994, AQUAT SCI;c7;1,000000000000000;"SANTIAGO S;THOMAS RL;LARBAIGT G;CORVI C;ROSSEL D;TARRADELLAS J;GREGOR DJ;MCCARTHY L;VERNET JP";1994;NUTRIENT, HEAVY-METAL AND ORGANIC POLLUTANT COMPOSITION OF SUSPENDED AND BED SEDIMENTS IN THE RHONE RIVER;AQUATIC SCIENCES;"RIVER QUALITY; SEDIMENT-BOUND CONTAMINANTS; ECOTOXICITY; STATISTICAL; RELATIONSHIPS"
MIRALLES J, 2006, MAR GEOL;c3;0,700000000000000;"MIRALLES J;ARNAUD M;RADAKOVITCH O;MARION X";2006;RADIONUCLIDE DEPOSITION IN THE RHONE RIVER PRODELTA (NW MEDITERRANEAN SEA) IN RESPONSE TO THE DECEMBER 2003 EXTREME FLOOD;MARINE GEOLOGY;"RADIONUCLIDE DEPOSITION; EXTREME FLOOD; RHONE RIVER PRODELTA; GULF OF; LIONS"
OUILLON S, 1997, MAR TECHNOL SOC J;c2;1,000000000000000;"OUILLON S;FORGET P;FROIDEFOND JM;NAUDIN JJ";1997;ESTIMATING SUSPENDED MATTER CONCENTRATIONS FROM SPOT DATA AND FROM FIELD MEASUREMENTS IN THE RHONE RIVER PLUME;MARINE TECHNOLOGY SOCIETY JOURNAL;NA
MARION C, 2010, CONT SHELF RES;c5;0,500000000000000;"MARION C;DUFOIS F;ARNAUD M;VELLA C";2010;IN SITU RECORD OF SEDIMENTARY PROCESSES NEAR THE RHONE RIVER MOUTH DURING WINTER EVENTS (GULF OF LIONS, MEDITERRANEAN SEA);CONTINENTAL SHELF RESEARCH;"SEDIMENT DYNAMICS; FLOODS; HYDRODYNAMICS; RADIOTRACERS; RHONE RIVER; PRODELTA"
RASSMANN J, 2016, BIOGEOSCIENCES;c6;1,000000000000000;"RASSMANN J;LANSARD B;POZZATO L;RABOUILLE C";2016;CARBONATE CHEMISTRY IN SEDIMENT POREWATERS OF THE RHONE RIVER DELTA DRIVEN BY EARLY DIAGENESIS (NORTHWESTERN MEDITERRANEAN);BIOGEOSCIENCES;NA
MARMONIER P, 1994, FRESHW BIOL;c1;1,000000000000000;"MARMONIER P;BODERGAT AM;DOLEDEC S";1994;THEORETICAL HABITAT TEMPLETS, SPECIES TRAITS, AND SPECIES RICHNESS - OSTRACODS (CRUSTACEA) IN THE UPPER RHONE RIVER AND ITS FLOODPLAIN;FRESHWATER BIOLOGY;NA
LABADIE P, 2019, CHEMOSPHERE;NA;1,000000000000000;"LABADIE P;BLASI C;LE MENACH K;GENESTE E;BABUT M;PERCEVAL O;BUDZINSKI H";2019;EVIDENCE FOR THE WIDESPREAD OCCURRENCE OF SHORT- AND MEDIUM-CHAIN CHLORINATED PARAFFINS IN FISH COLLECTED FROM THE RHONE RIVER BASIN (FRANCE);CHEMOSPHERE;"CHLORINATED PARAFFINS; TIME-OF-FLIGHT MASS SPECTROMETRY; RIVER; FISH; BIOACCUMULATION"
CHAUVELON P, 2003, HYDROL EARTH SYST SCI;NA;1,000000000000000;"CHAUVELON P;TOURNOUD MG;SANDOZ A";2003;INTEGRATED HYDROLOGICAL MODELLING OF A MANAGED COASTAL MEDITERRANEAN WETLAND (RHONE DELTA, FRANCE): INITIAL CALIBRATION;HYDROLOGY AND EARTH SYSTEM SCIENCES;"WATER MANAGEMENT; CONCEPTUAL HYDROLOGICAL MODEL; HYDRODYNAMIC MODEL; BOX; MODEL; GIS; RHONE DELTA; CAMARGUE"
BOUDET L, 2017, ESTUAR COAST SHELF SCI;c5;0,833333333333333;"BOUDET L;SABATIER F;RADAKOVITCH O";2017;MODELLING OF SEDIMENT TRANSPORT PATTERN IN THE MOUTH OF THE RHONE DELTA: ROLE OF STORM, AND FLOOD EVENTS;ESTUARINE COASTAL AND SHELF SCIENCE;"SEDIMENT TRANSPORT; DELTA; RHONE; FLOOD; STORM; NUMERICAL MODELLING"
CATTANEO F, 2001, ARCH HYDROBIOL;c9;0,400000000000000;"CATTANEO F;CARREL G;LAMOUROUX N;BREIL P";2001;RELATIONSHIP BETWEEN HYDROLOGY AND CYPRINID REPRODUCTIVE SUCCESS IN THE LOWER RHONE AT MONTELIMAR, FRANCE;ARCHIV FUR HYDROBIOLOGIE;"FISH RECRUITMENT; DISCHARGE; HABITAT TEMPLATE; SUBSTRATE SCOURING"
VANHAM D, 2014, ENVIRON RES LETT;NA;1,000000000000000;"VANHAM D;BIDOGLIO G";2014;THE WATER FOOTPRINT OF AGRICULTURAL PRODUCTS IN EUROPEAN RIVER BASINS;ENVIRONMENTAL RESEARCH LETTERS;"WATER FOOTPRINT; EU; RIVER BASIN; DIET; INDICATOR; SUSTAINABILITY; VIRTUAL WATER"
BARRATSEGRETAIN MH, 1996, HYDROBIOLOGIA;c1;1,000000000000000;"BARRATSEGRETAIN MH;AMOROS C";1996;RECOVERY OF RIVERINE VEGETATION AFTER EXPERIMENTAL DISTURBANCE: A FIELD TEST OF THE PATCH DYNAMICS CONCEPT;HYDROBIOLOGIA;"RIVER PLANTS; SPATIAL HETEROGENEITY; TEMPORAL HETEROGENEITY; FLOODS; ECOSYSTEM RESILIENCE; STRATEGIES"
TREMOLIERES M, 2004, J BIOSCI;c1;1,000000000000000;TREMOLIERES M;2004;PLANT RESPONSE STRATEGIES TO STRESS AND DISTURBANCE: THE CASE OF AQUATIC PLANTS;JOURNAL OF BIOSCIENCES;"AQUATIC PLANTS; DISTURBANCE; STRATEGIES; STRESS"
BERGE J, 2012, FISH RES;NA;1,000000000000000;"BERGE J;CAPRA H;PELLA H;STEIG M;BULTEL E;LAMOUROUX N";2012;PROBABILITY OF DETECTION AND POSITIONING ERROR OF A HYDRO ACOUSTIC TELEMETRY SYSTEM IN A FAST-FLOWING RIVER: INTRINSIC AND ENVIRONMENTAL DETERMINANTS;FISHERIES RESEARCH;"ACOUSTIC TAGS; HYDROPHONES CONFIGURATION; TRIANGULATION PARAMETERS; AQUATIC FISH BEHAVIOR"
JOHNSON AR, 1997, COLON WATERBIRDS;NA;1,000000000000000;JOHNSON AR;1997;LONG-TERM STUDIES AND CONSERVATION OF GREATER FLAMINGOS IN THE CAMARGUE AND MEDITERRANEAN;COLONIAL WATERBIRDS;"BREEDING; CAMARGUE; CAPTURE-RECAPTURE; CONSERVATION; GREATER FLAMINGO; MANAGEMENT; MEDITERRANEAN; PHILOPATRY; PHOENICOPTERUS RUBER"
ALLEMAN LY, 2000, DEEP-SEA RES PART II-TOP STUD OCEANOGR;c3;0,733333333333333;"ALLEMAN LY;HAMELIN B;VERON AJ;MIQUEL JC;HEUSSNER S";2000;LEAD SOURCES AND TRANSFER IN THE COASTAL MEDITERRANEAN: EVIDENCE FROM STABLE LEAD ISOTOPES IN MARINE PARTICLES;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;NA
LANSARD B, 2008, CONT SHELF RES;c6;0,700000000000000;"LANSARD B;RABOUILLE C;DENIS L;GRENZ C";2008;IN SITU OXYGEN UPTAKE RATES BY COASTAL SEDIMENTS UNDER THE INFLUENCE OF THE RHONE RIVER (NW MEDITERRANEAN SEA);CONTINENTAL SHELF RESEARCH;"SEDIMENT; OXYGEN UPTAKE RATE; MICROELECTRODES; ORGANIC CARBON; REMINERALIZATION; MEDITERRANEAN SEA; GULF OF LIONS; RHONE RIVER"
PEDRAZZINI A, 2016, LANDSLIDES;NA;1,000000000000000;"PEDRAZZINI A;HUMAIR F;JABOYEDOFF M";2016;CHARACTERISATION AND SPATIAL DISTRIBUTION OF GRAVITATIONAL SLOPE DEFORMATION IN THE UPPER RHONE CATCHMENT (WESTERN SWISS ALPS);LANDSLIDES;"SWISS ALPS; SLOPE DEFORMATION; INVENTORY; SPATIAL CLUSTER DISTRIBUTION; PREDISPOSING FACTORS"
BEAUDOUIN C, 2005, J COAST RES;NA;1,000000000000000;"BEAUDOUIN C;SUC JP;CAMBON G;TOUZANI A;GIRESSE D;ALOISI JC;MARSSET T;COCHONAT P;DUZER J";2005;PRESENT-DAY RHYTHMIC DEPOSITION IN THE GRAND RHONE PRODELTA (NW MEDITERRANEAN) ACCORDING TO HIGH-RESOLUTION POLLEN ANALYSES;JOURNAL OF COASTAL RESEARCH;"PALYNOLOGY; FLUVIAL IMPACT; SEDIMENTATION; SEASONALITY; PRODELTA; MEDITERRANEAN SEA"
MOCOCHAIN L, 2006, SEDIMENT GEOL;NA;1,000000000000000;"MOCOCHAIN L;CLAUZON G;BIGOT JY;BRUNET P";2006;GEODYNAMIC EVOLUTION OF THE PERI-MEDITERRANEAN KARST DURING THE MESSINIAN AND THE PLIOCENE: EVIDENCE FROM THE ARDECHE AND RHONE VALLEY SYSTEMS CANYONS, SOUTHERN FRANCE;SEDIMENTARY GEOLOGY;"KARST; CAVE; SPELEOGENESIS; MESSINIAN SALINITY CRISIS; BENCHMARK LEVELS; CHIMNEY-SHAFT"
SERINALDI F, 2017, RISK ANAL;NA;1,000000000000000;"SERINALDI F;KILSBY CG";2017;A BLUEPRINT FOR FULL COLLECTIVE FLOOD RISK ESTIMATION: DEMONSTRATION FOR EUROPEAN RIVER FLOODING;RISK ANALYSIS;"COLLECTIVE FLOOD RISK; DYNAMIC COPULA SPACE-TIME MODELING; EUROPEAN; RIVERS"
GIRARDCLOS S, 2005, BOREAS;c7;1,000000000000000;"GIRARDCLOS S;FIORE J;RACHOUD-SCHNEIDER AM;BASTER W";2005;PETIT-LAC (WESTERN LAKE GENEVA) ENVIRONMENT AND CLIMATE HISTORY FROM DEGLACIATION TO THE PRESENT: A SYNTHESIS;BOREAS;NA
MARIN B, 2001, MAR GEOL;NA;1,000000000000000;"MARIN B;GIRESSE P";2001;PARTICULATE MANGANESE AND IRON IN RECENT SEDIMENTS OF THE GULF OF LIONS CONTINENTAL MARGIN (NORTH-WESTERN MEDITERRANEAN SEA): DEPOSITION AND DIAGENETIC PROCESS;MARINE GEOLOGY;"MANGANESE; IRON; SEDIMENT; EARLY DIAGENESIS; TODOROKITE; BUDGET"
GREULICH S, 1999, FRESHW BIOL;c1;1,000000000000000;"GREULICH S;BORNETTE G";1999;COMPETITIVE ABILITIES AND RELATED STRATEGIES IN FOUR AQUATIC PLANT SPECIES FROM AN INTERMEDIATELY DISTURBED HABITAT;FRESHWATER BIOLOGY;"AQUATIC MACROPHYTES; COEXISTENCE; COMPETITION; CSR-MODEL; GROWTH; PATTERNS"
SARGEANT CI, 2016, ECOHYDROLOGY;NA;1,000000000000000;"SARGEANT CI;SINGER MB";2016;SUB-ANNUAL VARIABILITY IN HISTORICAL WATER SOURCE USE BY MEDITERRANEAN RIPARIAN TREES;ECOHYDROLOGY;"TREE-RINGS; CELLULOSE; DELTA O-18; RIPARIAN; PHREATIC; VADOSE; FLOODPLAIN; HYDROLOGY; CLIMATE; PLANT-WATER RELATIONS"
RABINEAU M, 2014, EARTH PLANET SCI LETT;NA;1,000000000000000;"RABINEAU M;LEROUX E;ASLANIAN D;BACHE F;GORINI C;MOULIN M;MOLLIEX S;DROZ L;DOS REIS JL;GUILLOCHEAU F;OLIVET JL";2014;QUANTIFYING SUBSIDENCE AND ISOSTATIC READJUSTMENT USING SEDIMENTARY PALEOMARKERS, EXAMPLE FROM THE GULF OF LION;EARTH AND PLANETARY SCIENCE LETTERS;"SUBSIDENCE; PLIOCENE-QUATERNARY; MESSINIAN SALINITY CRISIS; ISOSTASY; MEDITERRANEAN SEA; GULF OF LION"
BURRUS D, 1989, HYDROL PROCESS;c7;1,000000000000000;"BURRUS D;THOMAS RL;DOMINIK J;VERNET JP";1989;RECOVERY AND CONCENTRATION OF SUSPENDED-SOLIDS IN THE UPPER RHONE RIVER BY CONTINUOUS-FLOW CENTRIFUGATION;HYDROLOGICAL PROCESSES;NA
SICRE MA, 2008, MAR POLLUT BULL;NA;0,833333333333333;"SICRE MA;FERNANDES MB;PONT D";2008;POLY-AROMATIC HYDROCARBON (PAH) INPUTS FROM THE RHONE RIVER TO THE MEDITERRANEAN SEA IN RELATION WITH THE HYDROLOGICAL CYCLE: IMPACT OF FLOODS;MARINE POLLUTION BULLETIN;"PAHS; FLOODS; LOADS; RHONE RIVER; MEDITERRANEAN SEA"
PENAZ M, 1992, FOLIA ZOOL;c1;1,000000000000000;"PENAZ M;ROUX AL;JURAJDA P;OLIVIER JM";1992;DRIFT OF LARVAL AND JUVENILE FISHES IN A BYPASSED FLOODPLAIN OF THE UPPER RIVER RHONE, FRANCE;FOLIA ZOOLOGICA;NA
MASSON M, 2018, SCI TOTAL ENVIRON;c9;1,000000000000000;"MASSON M;ANGOT H;LE BESCOND C;LAUNAY M;DABRIN A;MIEGE C;LE COZ J;COQUERY M";2018;SAMPLING OF SUSPENDED PARTICULATE MATTER USING PARTICLE TRAPS IN THE RHONE RIVER: RELEVANCE AND REPRESENTATIVENESS FOR THE MONITORING OF CONTAMINANTS;SCIENCE OF THE TOTAL ENVIRONMENT;"HYDROPHOBIC CONTAMINANTS; CONTINUOUS FLOW CENTRIFUGATION; GRAIN SIZE; DISTRIBUTION; PARTICULATE ORGANIC MATTER; PARTICLE TRAP; RHONE RIVER"
KETTNER AJ, 2009, QUAT SCI REV;NA;1,000000000000000;"KETTNER AJ;SYVITSKI JPM";2009;FLUVIAL RESPONSES TO ENVIRONMENTAL PERTURBATIONS IN THE NORTHERN MEDITERRANEAN SINCE THE LAST GLACIAL MAXIMUM;QUATERNARY SCIENCE REVIEWS;NA
STOLL JMA, 1998, WATER RES;NA;1,000000000000000;"STOLL JMA;GIGER W";1998;MASS BALANCE FOR DETERGENT-DERIVED FLUORESCENT WHITENING AGENTS IN SURFACE WATERS OF SWITZERLAND;WATER RESEARCH;"FLUORESCENT WHITENING AGENTS; DETERGENTS; RIVERS; MONITORING; MOLECULAR; MAKER; MASS BALANCE"
DORTEN WS, 1991, AMBIO;NA;1,000000000000000;"DORTEN WS;ELBAZPOULICHET F;MART LR;MARTIN JM";1991;REASSESSMENT OF THE RIVER INPUT OF TRACE-METALS INTO THE MEDITERRANEAN-SEA;AMBIO;NA
BARRATSEGRETAIN MH, 1995, HYDROBIOLOGIA;c1;1,000000000000000;"BARRATSEGRETAIN MH;AMOROS C";1995;INFLUENCE OF FLOOD TIMING ON THE RECOVERY OF MACROPHYTES IN A FORMER RIVER CHANNEL;HYDROBIOLOGIA;"RIVER PLANTS; DISTURBANCE; FLOOD TIMING; RHONE RIVER; FORMER CHANNEL"
VINNA LR, 2018, HYDROL EARTH SYST SCI;c7;1,000000000000000;"VINNA LR;WUEST A;ZAPPA M;FINK G;BOUFFARD D";2018;TRIBUTARIES AFFECT THE THERMAL RESPONSE OF LAKES TO CLIMATE CHANGE;HYDROLOGY AND EARTH SYSTEM SCIENCES;NA
YAO QZ, 2006, ESTUAR COAST SHELF SCI;NA;1,000000000000000;"YAO QZ;ZHANG J;QIN XG;XIONG H;DONG LX";2006;THE BEHAVIOR OF SELENIUM AND ARSENIC IN THE ZHUJIANG (PEARL RIVER) ESTUARY, SOUTH CHINA SEA;ESTUARINE COASTAL AND SHELF SCIENCE;"SELENIUM; SE (IV); SE (VI); ARSENIC; BEHAVIOR; ZHUJIANG ESTUARY; FLUX"
BIANCHI M, 1999, AQUAT MICROB ECOL-a;c2;0,833333333333333;"BIANCHI M;FOSSET C;CONAN P";1999;NITRIFICATION RATES IN THE NW MEDITERRANEAN SEA;AQUATIC MICROBIAL ECOLOGY;"MEDITERRANEAN SEA; NITRIFICATION; SPATIAL VARIABILITY; SHORT-TERM; FLUCTUATION; N BUDGET"
MAZET A, 2005, CHEMOSPHERE;NA;1,000000000000000;"MAZET A;KECK G;BERNY P";2005;CONCENTRATIONS OF PCBS, ORGANOCHLORINE PESTICIDES AND HEAVY METALS (LEAD, CADMIUM, AND COPPER) IN FISH FROM THE DROME RIVER: POTENTIAL EFFECTS ON OTTERS (LUTRA LUTRA);CHEMOSPHERE;"POLYCHLORINATED BIPHENYLS; ORGANOCHLORINE PESTICIDES; HEAVY METALS; POLLUTION; OTTER (LUTRA LUTRA)"
MOCOCHAIN L, 2006, BULL SOC GEOL FR;NA;1,000000000000000;"MOCOCHAIN L;CLAUZON G;BIGOT JY";2006;THE ARDECHE ENDOKARSTIC RESPONSES TO THE EUSTATIC VARIATIONS RESULTING FROM THE MESSINIAN SALINITY CRISIS;BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE;"ENDOKARST; EUSTATISM; MESSINIAN SALINITY CRISIS; BENCHMARK LEVELS; POLYGENIC SPELEOGENESIS; CHIMNEY-SHAFT"
VASSAS C, 2006, J ENVIRON RADIOACT;c5;1,000000000000000;"VASSAS C;POURCELOT L;VELLA C;CARPENA J;PUPIN JP;BOUISSET P;GUILLOT L";2006;MECHANISMS OF ENRICHMENT OF NATURAL RADIOACTIVITY ALONG THE BEACHES OF THE CAMARGUE, FRANCE;JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;"U; TH; BEACH; SAND; HEAVY MINERALS"
COELHO C, 2018, SCI TOTAL ENVIRON;c1;1,000000000000000;"COELHO C;FORET C;BAZIN C;LEDUC L;HAMMADA M;BEDELL JP";2018;BIOAVAILABILITY AND BIOACCUMULATION OF HEAVY METALS OF SEVERAL SOILS AND SEDIMENTS (FROM INDUSTRIALIZED URBAN AREAS) FOR EISENIA FETIDA;SCIENCE OF THE TOTAL ENVIRONMENT;"BIOAVAILABILITY; EISENIA FETIDA; METALLIC TRACE ELEMENTS; MOBILITY; POLLUTANT; RISK EVALUATION; SET/ERITME INDEX"
LIBER Y, 2019, SCI TOTAL ENVIRON;NA;0,952380952380952;"LIBER Y;MOURIER B;MARCHAND P;BICHON E;PERRODIN Y;BEDELL JP";2019;PAST AND RECENT STATE OF SEDIMENT CONTAMINATION BY PERSISTENT ORGANIC POLLUTANTS (POPS) IN THE RHONE RIVER: OVERVIEW OF ECOTOXICOLOGICAL IMPLICATIONS;SCIENCE OF THE TOTAL ENVIRONMENT;"BROMINATED FLAME RETARDANTS; ORGANOCHLORINE PESTICIDES; POLYCHLORINATED; COMPOUNDS; SEDIMENT CORES; SEDIMENT QUALITY GUIDELINES; RHONE RIVER"
PANAGIOTOPOULOS C, 2012, BIOGEOSCIENCES;c2;1,000000000000000;"PANAGIOTOPOULOS C;SEMPERE R;PARA J;RAIMBAULT C;CHARRIERE B";2012;THE COMPOSITION AND FLUX OF PARTICULATE AND DISSOLVED CARBOHYDRATES FROM THE RHONE RIVER INTO THE MEDITERRANEAN SEA;BIOGEOSCIENCES;NA
PRITCHARD SB, 2004, FR HIST STUD;NA;1,000000000000000;PRITCHARD SB;2004;RECONSTRUCTING THE RHONE: THE CULTURAL POLITICS OF NATURE AND NATION IN CONTEMPORARY FRANCE, 1945-1997;FRENCH HISTORICAL STUDIES;NA
REVEL-ROLLAND M, 2005, CHEM GEOL;NA;0,785714285714286;"REVEL-ROLLAND M;ARNAUD F;CHAPRON E;DESMET M;GIVELET N;ALIBERT C;MCCULLOCH M";2005;SR AND ND ISOTOPES AS TRACERS OF CLASTIC SOURCES IN LAKE LE BOURGET SEDIMENT (NW ALPS, FRANCE) DURING THE LITTLE ICE AGE: PALAEOHYDROLOGY IMPLICATIONS;CHEMICAL GEOLOGY;"LAKE LE BOURGET SEDIMENTS; SR AND ND ISOTOPES; RHONE RIVER FLOODS; PALAEOHYDROLOGY; LITTLE ICE AGE"
BOURNAUD M, 1998, ANN LIMNOL-INT J LIMNOL;c1;1,000000000000000;"BOURNAUD M;TACHET H;BERLY A;CELLOT B";1998;IMPORTANCE OF MICROHABITAT CHARACTERISTICS IN THE MACROBENTHOS MICRODISTRIBUTION OF A LARGE RIVER REACH;ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY;"LARGE RIVER; RHONE RIVER; MACROINVERTEBRATES; MICRODISTRIBUTION; MICROHABITATS; DREDGING"
EL GANAOUI O, 2004, ESTUAR COAST SHELF SCI;c3;1,000000000000000;"EL GANAOUI O;SCHAAFF E;BOYER P;AMIELH M;ANSELMET F;GRENZ C";2004;THE DEPOSITION AND EROSION OF COHESIVE SEDIMENTS DETERMINED BY A MULTI-CLASS MODEL;ESTUARINE COASTAL AND SHELF SCIENCE;"COHESIVE SEDIMENT; EROSION FLUXE; DEPOSITION FLUXE; FLUFF LAYER; LABORATORY FLUME"
DEVAUX A, 2015, AQUAT TOXICOL;c8;0,977777777777778;"DEVAUX A;BONY S;PLENET S;SAGNES P;SEGURA S;SUAIRE R;NOVAK M;GILLES A;OLIVIER JM";2015;FIELD EVIDENCE OF REPRODUCTION IMPAIRMENT THROUGH SPERM DNA DAMAGE IN THE FISH NASE (CHONDROSTOMA NASUS) IN ANTHROPIZED HYDROSYSTEMS;AQUATIC TOXICOLOGY;"FISH POPULATION DECLINE; POLLUTANT; GENOTOXICITY; SPERM; FITNESS"
